x , y
0.290419, 9.1406
0.227199, 9.11077
0.163968, 9.0805
0.100729, 9.0498
0.0374855, 9.01866
-0.0257599, 8.98708
-0.089004, 8.95506
-0.152244, 8.92258
-0.215476, 8.88965
-0.278697, 8.85627
-0.341903, 8.82243
-0.405092, 8.78812
-0.468259, 8.75335
-0.531401, 8.71812
-0.594514, 8.68241
-0.657595, 8.64623
-0.72064, 8.60957
-0.783644, 8.57243
-0.846604, 8.53481
-0.909516, 8.4967
-0.972376, 8.4581
-1.03518, 8.41901
-1.09792, 8.37942
-1.1606, 8.33933
-1.2232, 8.29874
-1.28573, 8.25764
-1.34819, 8.21603
-1.41055, 8.17391
-1.47283, 8.13127
